目标词|目标词词性|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码
菜|ng|、|wd|null|null|null|、|wd|null|null|null|果|ng|原因_结果(Db01)|原因_结果|Db01|西瓜|ng|水果(Bh07)|水果|Bh07
菜|ng|鲜|a|新_新鲜(Eb28)|新_新鲜|Eb28|绿|a|蓝_绿(Ec02)|蓝_绿|Ec02|花|ng|花_花卉(Bh02)|花_花卉|Bh02|。|wj|null|null|null
菜|ng|年|q|年(Ca18)|年|Ca18|，|wo|null|null|null|十三|m|null|null|null|组织|ng|系统_种类_结构(Dd06)|系统_种类_结构|Dd06
菜|ng|到|vg|从_到_沿(Kb02)|从_到_沿|Kb02|，|wo|null|null|null|不|d|不_没(Ka18)|不_没|Ka18|只好|d|执意_只得(Ka22)|执意_只得|Ka22
菜|ng|的|ur|的_然_所(Kd01)|的_然_所|Kd01|，|wo|null|null|null|下|vg|上_下_左_右(Cb03)|上_下_左_右|Cb03|一|m|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02
菜|ng|卖|vg|买_卖(He03)|买_卖|He03|的|ur|的_然_所(Kd01)|的_然_所|Kd01|三轮车|ng|车(Bo21)|车|Bo21|陈某|nm|null|null|null
菜|ng|、|wd|null|null|null|、|wd|null|null|null|粮|ng|粮食(Br01)|粮食|Br01|肉|ng|果实_种子(Bh13)|果实_种子|Bh13
菜|ng|买|vg|买_卖(He03)|买_卖|He03|，|wo|null|null|null|上街|vg|出_进_出入(Hj64)|出_进_出入|Hj64|摔倒|vg|打滑_跌倒(Fd05)|打滑_跌倒|Fd05
菜|ng|如|vg|如果_那末(Kc08)|如果_那末|Kc08|，|wo|null|null|null|脸色|ng|仪表_神情_风度(Dc04)|仪表_神情_风度|Dc04|面无血色|l|null|null|null
菜|ng|种|vg|系统_种类_结构(Dd06)|系统_种类_结构|Dd06|”|wyr|null|null|null|明年|t|年(Ca18)|年|Ca18|，|wo|null|null|null
菜|ng|是|vg|是_当做_比作(Ja01)|是_当做_比作|Ja01|”|wyr|null|null|null|就|d|都_只_不止_甚至(Ka07)|都_只_不止_甚至|Ka07|的|ur|真实_虚假_确实_虚妄(Ed01)|真实_虚假_确实_虚妄|Ed01
菜|ng|道|q|性格_品行_道德_作风(De01)|性格_品行_道德_作风|De01|，|wo|null|null|null|一|m|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|并|c|合并_分开(Hj30)|合并_分开|Hj30
菜|ng|买|vg|买_卖(He03)|买_卖|He03|、|wd|null|null|null|把|p|跟_替_把_比(Kb03)|跟_替_把_比|Kb03|做饭|vg|烹饪(Hj44)|烹饪|Hj44
菜|ng|夏|t|四季_春_夏_秋_冬(Ca19)|四季_春_夏_秋_冬|Ca19|自给|vg|需要_提供_满足(Jc05)|需要_提供_满足|Jc05|实现|vg|完成_实现(Ie14)|完成_实现|Ie14|、|wd|null|null|null
菜|ng|卖|vg|买_卖(He03)|买_卖|He03|的|ur|的_然_所(Kd01)|的_然_所|Kd01|是|vg|是_当做_比作(Ja01)|是_当做_比作|Ja01|，|wo|null|null|null
菜|ng|瓜|ng|水果(Bh07)|水果|Bh07|香|a|香_臭(Ec07)|香_臭|Ec07|null||null|null|null|null||null|null|null
菜|ng|肉|ng|果实_种子(Bh13)|果实_种子|Bh13|自给|vg|需要_提供_满足(Jc05)|需要_提供_满足|Jc05|null||null|null|null|null||null|null|null
菜|ng|产|vg|产业_财物(Dj03)|产业_财物|Dj03|180万|m|null|null|null|部队|ng|军队_战争(Di11)|军队_战争|Di11|公斤|q|度量衡单位(Dn10)|度量衡单位|Dn10
菜|ng|而|c|并且_况且(Kc02)|并且_况且|Kc02|、|wd|null|null|null|；|wj|null|null|null|果|ng|原因_结果(Db01)|原因_结果|Db01
菜|ng|进|vg|出_进_出入(Hj64)|出_进_出入|Hj64|的|ur|的_然_所(Kd01)|的_然_所|Kd01|果|ng|原因_结果(Db01)|原因_结果|Db01|客商|ng|商人(Ae09)|商人|Ae09
