目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
天地|新|null|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|null|新_新鲜(Eb28)|新_新鲜|E|Eb28|null|null|null|null
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|新|null|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|null|新_新鲜(Eb28)|新_新鲜|E|Eb28|null|null|null|null
天地|个性|哩|性格_品行_道德_作风(De01)|哩_呗_哟(Kd04)|性格_品行_道德_作风(De01)|性格_品行_道德_作风|D|De01|哩_呗_哟(Kd04)|哩_呗_哟|K|Kd04
天地|新|null|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|null|新_新鲜(Eb28)|新_新鲜|E|Eb28|null|null|null|null
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|新|？|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|null|新_新鲜(Eb28)|新_新鲜|E|Eb28|null|null|null|null
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|广阔|null|广阔_宽敞_狭窄(Ea04) 广泛_无穷_狭隘(Ed38)|null|广阔_宽敞_狭窄(Ea04)|广阔_宽敞_狭窄|E|Ea04|null|null|null|null
