目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
菜|null|null|null|null|null|null|null|null|null|null|null|null
菜|鲜|绿|多_少_稀少(Eb01) 新_新鲜(Eb28) 咸_淡_可口_难吃(Ec10)|蓝_绿(Ec02)|新_新鲜(Eb28)|新_新鲜|E|Eb28|蓝_绿(Ec02)|蓝_绿|E|Ec02
菜|年|null|气候_收成(Da24) 年龄(Ca14) 年(Ca18)|null|年(Ca18)|年|C|Ca18|null|null|null|null
菜|到|null|出席_缺席(Hj20) 来_去_来去(Hj63) 全面_片面(Ed11) 从_到_沿(Kb02) 期满_到期_过期(Ie16) 到达_停靠(Hf08)|null|从_到_沿(Kb02)|从_到_沿|K|Kb02|null|null|null|null
菜|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
菜|卖|的|数量单位(Dn08) 叛变_通敌(Ha07) 买_卖(He03)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|买_卖(He03)|买_卖|H|He03|的_然_所(Kd01)|的_然_所|K|Kd01
菜|null|null|null|null|null|null|null|null|null|null|null|null
菜|买|null|买_卖(He03)|null|买_卖(He03)|买_卖|H|He03|null|null|null|null
菜|如|null|困难_艰巨_容易(Ed07) 依照_根据_趁(Kb07) 如果_那末(Kc08) 相似_例如(Jb03) 取得_达到_挽回(Je12)|null|如果_那末(Kc08)|如果_那末|K|Kc08|null|null|null|null
菜|种|null|系统_种类_结构(Dd06) 胆量_气量_气概(De03) 人种_民族(Di04) 数量单位(Dn08) 果实_种子(Bh13) 播种_耧播_种植_扦插(Hd20)|null|系统_种类_结构(Dd06)|系统_种类_结构|D|Dd06|null|null|null|null
菜|是|null|正确_准确_错误(Ed12) 这个_那个_某个_各个_其他_何(Ed61) 连_凡是(Kc06) 润色_修改_修订(Hg18) 是_当做_比作(Ja01) 无关(Jd01)|null|是_当做_比作(Ja01)|是_当做_比作|J|Ja01|null|null|null|null
