目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
天地|新|null|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|null|新_新鲜(Eb28)|新_新鲜|E|Eb28|null|null|null|null
天地|null|虽|null|索性_毕竟_简直_反正(Ka29) 虽然_即使_既然(Kc04)|null|null|null|null|虽然_即使_既然(Kc04)|虽然_即使_既然|K|Kc04
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|的|留待|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
天地|以退为进|宽|null|广阔_宽敞_狭窄(Ea04) 严格_宽大(Ee36) 富裕_小康_贫穷(Ef14) 量度_温度(Dn01)|null|null|null|null|广阔_宽敞_狭窄(Ea04)|广阔_宽敞_狭窄|E|Ea04
天地|小|里|大_中_小(Ea03) 短促_暂时(Eb25) 尊贵_低贱(Ed26) 广泛_无穷_狭隘(Ed38) 大度_慷慨_心窄_吝啬(Ee35) 相当_比较_稍微_大多(Ka05) 不及(Jb05) 婴儿_儿童(Ab04) 夫_妻_夫妻(Ah08)|过程_内中(Da05) 期限_期间(Ca06) 内_外(Cb05) 本地_外地_家乡(Cb15) 边_角_面_脊(Bc02) 数量单位(Dn08) 度量衡单位(Dn10)|大_中_小(Ea03)|大_中_小|E|Ea03|过程_内中(Da05)|过程_内中|D|Da05
天地|新|里|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|过程_内中(Da05) 期限_期间(Ca06) 内_外(Cb05) 本地_外地_家乡(Cb15) 边_角_面_脊(Bc02) 数量单位(Dn08) 度量衡单位(Dn10)|新_新鲜(Eb28)|新_新鲜|E|Eb28|过程_内中(Da05)|过程_内中|D|Da05
天地|观念|宽|思想_感想(Df01)|广阔_宽敞_狭窄(Ea04) 严格_宽大(Ee36) 富裕_小康_贫穷(Ef14) 量度_温度(Dn01)|思想_感想(Df01)|思想_感想|D|Df01|广阔_宽敞_狭窄(Ea04)|广阔_宽敞_狭窄|E|Ea04
天地|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
